time,reference,lqr_position,lqr_voltage,rnn_position,rnn_voltage
9.02,0.004689709186310929,0.0045015789050027455,-2.444153512297419,,
9.025,0.004699978991826885,0.004511394905584916,-2.4340241873468362,,
9.03,0.004710271497621635,0.004521235467694678,-2.423870839560177,,
9.035,0.004720586602112305,0.0045311004942096555,-2.4136935691468926,,
9.040000000000001,0.004730924203492973,0.004540989887766021,-2.4034924765525245,,
9.045,0.004741284199735692,0.004550903550759452,-2.3932676624577423,,
9.05,0.00475166648859148,0.0045608413853460966,-2.383019227777334,,
9.055,0.00476207096759133,0.004570803293443539,-2.3727472736592063,,
9.06,0.004772497534047248,0.004580789176731769,-2.3624519014834098,,
9.065,0.004782946085053224,0.00459079893665415,-2.3521332128611054,,
9.07,0.004793416517486278,0.004600832474418393,-2.3417913096335834,,
9.075000000000001,0.004803908728007475,0.004610889690997528,-2.3314262938712567,,
9.08,0.004814422613062925,0.004620970487130892,-2.321038267872642,,
9.085,0.00482495806888483,0.004631074763325095,-2.310627334163365,,
9.09,0.004835514991492497,0.004641202419855009,-2.3001935954951396,,
9.095,0.004846093276693361,0.004651353356764755,-2.2897371548447523,,
9.1,0.004856692820084012,0.0046615274738686825,-2.279258115413044,,
9.105,0.004867313517051246,0.004671724670752364,-2.268756580623921,,
9.11,0.004877955262773061,0.0046819448467735805,-2.2582326541232725,,
9.115,0.004888617952219733,0.004692187901063324,-2.2476864397780174,,
9.120000000000001,0.004899301480154819,0.004702453732526783,-2.2371180416750307,,
9.125,0.004910005741136205,0.004712742239844345,-2.22652756412013,,
9.13,0.004920730629517162,0.004723053321472595,-2.2159151116370595,,
9.135,0.004931476039447371,0.004733386875645323,-2.205280788966438,,
9.14,0.004942241864873976,0.004743742800374519,-2.194624701064738,,
9.145,0.004953027999542618,0.004754120993451387,-2.1839469531032396,,
9.15,0.004963834336998515,0.0047645213524473515,-2.173247650467015,,
9.155,0.004974660770587466,0.004774943774715069,-2.1625268987538466,,
9.16,0.0049855071934569554,0.004785388157389438,-2.1517848037732463,,
9.165000000000001,0.004996373498557163,0.004795854397388619,-2.1410214715453435,,
9.17,0.0050072595786420345,0.004806342391415048,-2.130237008299873,,
9.175,0.00501816532627037,0.004816852035956458,-2.1194315204751497,,
9.18,0.005029090633806833,0.004827383227286902,-2.1086051147169647,,
9.185,0.005040035393423053,0.00483793586146777,-2.0977578978775746,,
9.19,0.005050999497098669,0.004848509834348826,-2.0868899770146316,,
9.195,0.005061982836622409,0.0048591050415692245,-2.076001459390131,,
9.200000000000001,0.005072985303593142,0.0048697213785585496,-2.065092452469343,,
9.205,0.005084006789420955,0.004880358740537839,-2.054163063919752,,
9.21,0.005095047185328245,0.004891017022520625,-2.0432134016100276,,
9.215,0.005106106382350749,0.004901696119313969,-2.032243573608901,,
9.22,0.00511718427133867,0.004912395925519494,-2.0212536881841605,,
9.225,0.0051282807429577065,0.004923116335534436,-2.010243853801528,,
9.23,0.005139395687690166,0.004933857243552674,-1.9992141791236244,,
9.235,0.005150528995836031,0.004944618543565782,-1.9881647730088907,,
9.24,0.005161680557514049,0.004955400129364075,-1.977095744510503,,
9.245000000000001,0.005172850262662802,0.004966201894537652,-1.9660072028753006,,
9.25,0.005184038001041813,0.0049770237324774525,-1.9548992575427138,,
9.255,0.005195243662232622,0.0049878655363763055,-1.9437720181436822,,
9.26,0.0052064671356398685,0.004998727199229982,-1.9326255944995572,,
9.265,0.005217708310492415,0.005009608613838256,-1.9214600966210575,,
9.27,0.005228967075844393,0.005020509672805958,-1.9102756347071224,,
9.275,0.005240243320576338,0.005031430268544037,-1.8990723191438834,,
9.28,0.005251536933396267,0.005042370293270621,-1.8878502605035405,,
9.285,0.005262847802840783,0.005053329639012084,-1.8766095695432896,,
9.290000000000001,0.005274175817276164,0.0050643081976041076,-1.8653503572041983,,
9.295,0.0052855208648994855,0.00507530586069275,-1.8540727346101527,,
9.3,0.005296882833739711,0.005086322519735517,-1.842776813066739,,
9.305,0.005308261611658785,0.005097358066002431,-1.8314627040601354,,
9.31,0.005319657086352776,0.005108412390577106,-1.8201305192560402,,
9.315,0.005331069145352939,0.005119485384357822,-1.8087803704985324,,
9.32,0.005342497676026863,0.005130576938058598,-1.7974123698090032,,
9.325000000000001,0.005353942565579566,0.005141686942210281,-1.7860266293850289,,
